650.0,650.0
128.0,652.0
down
132.0,653.0
136.0,656.0
141.0,658.0
145.0,657.0
150.0,660.0
153.0,656.0
162.0,658.0
164.0,655.0
167.0,656.0
173.0,645.0
175.0,625.0
181.0,634.0
650.0,650.0
123.0,649.0
128.0,652.0
132.0,653.0
136.0,656.0
141.0,658.0
145.0,657.0
150.0,660.0
153.0,656.0
162.0,658.0
164.0,655.0
167.0,656.0
173.0,645.0
175.0,625.0
181.0,634.0
314.0,655.0
down
317.0,656.0
320.0,658.0
322.0,657.0
325.0,660.0
329.0,658.0
332.0,655.0
336.0,655.0
338.0,659.0
343.0,661.0
344.0,660.0
349.0,661.0
350.0,659.0
0.0,1023.0
678.0,834.0
484.0,658.0
465.0,658.0
451.0,659.0
438.0,658.0
430.0,661.0
422.0,657.0
down
417.0,659.0
413.0,659.0
410.0,654.0
409.0,659.0
406.0,658.0
406.0,659.0
405.0,659.0
405.0,665.0
405.0,659.0
407.0,657.0
414.0,656.0
392.0,650.0
414.0,566.0
414.0,567.0
430.0,588.0
434.0,604.0
458.0,616.0
448.0,624.0
447.0,628.0
443.0,634.0
down
442.0,639.0
440.0,691.0
440.0,681.0
440.0,680.0
442.0,679.0
440.0,673.0
442.0,673.0
441.0,672.0
445.0,671.0
445.0,668.0
447.0,668.0
447.0,665.0
448.0,664.0
450.0,665.0
454.0,662.0
454.0,666.0
455.0,665.0
458.0,663.0
459.0,666.0
461.0,664.0
down
461.0,663.0
465.0,666.0
464.0,656.0
468.0,654.0
468.0,656.0
470.0,658.0
471.0,658.0
474.0,662.0
476.0,661.0
476.0,661.0
479.0,663.0
479.0,662.0
481.0,662.0
481.0,663.0
484.0,655.0
484.0,660.0
488.0,663.0
488.0,663.0
491.0,663.0
491.0,663.0
down
495.0,666.0
494.0,662.0
497.0,662.0
496.0,666.0
499.0,662.0
500.0,662.0
502.0,664.0
502.0,661.0
504.0,664.0
505.0,662.0
507.0,688.0
508.0,723.0
508.0,710.0
511.0,694.0
512.0,684.0
514.0,682.0
512.0,684.0
514.0,677.0
515.0,673.0
517.0,673.0
down
517.0,671.0
520.0,667.0
521.0,664.0
521.0,665.0
524.0,663.0
524.0,659.0
526.0,659.0
526.0,700.0
528.0,686.0
528.0,681.0
529.0,674.0
531.0,670.0
531.0,674.0
531.0,652.0
536.0,628.0
534.0,633.0
536.0,641.0
537.0,647.0
538.0,642.0
539.0,643.0
down
